player1_id,player2_id,atp_difference,classe,proba,odds
1000,1000,0,1,0.51,1.96
1000,1000,0,1,0.51,1.96
1000,1000,0,1,0.51,1.96
1000,1000,0,1,0.51,1.96
1000,1000,0,1,0.51,1.96
1000,1000,0,1,0.51,1.96
1000,1000,0,1,0.51,1.96
1000,1000,0,1,0.51,1.96
123,5,-118,0,0.37,2.7
1000,1000,0,1,0.51,1.96
79,1000,921,0,0.34,2.94
68,187,119,0,0.38,2.63
82,1000,918,0,0.43,2.33
1000,1000,0,1,0.51,1.96
1000,1000,0,1,0.51,1.96
1000,1000,0,1,0.51,1.96
1000,1000,0,1,0.51,1.96
1000,1000,0,1,0.51,1.96
1000,1000,0,1,0.51,1.96
1000,1000,0,1,0.51,1.96
1000,1000,0,1,0.51,1.96
1000,1000,0,1,0.51,1.96
1000,1000,0,1,0.51,1.96
1000,1000,0,1,0.51,1.96
1000,1000,0,1,0.51,1.96
1000,1000,0,1,0.51,1.96
1000,1000,0,1,0.51,1.96
1000,1000,0,1,0.51,1.96
1000,1000,0,1,0.51,1.96
1000,1000,0,1,0.51,1.96
1000,1000,0,1,0.51,1.96
1000,1000,0,1,0.51,1.96
1000,1000,0,1,0.51,1.96
1000,1000,0,1,0.51,1.96
1000,1000,0,1,0.51,1.96
1000,1000,0,1,0.51,1.96
1000,1000,0,1,0.51,1.96
1000,1000,0,1,0.51,1.96
1000,1000,0,1,0.51,1.96
1000,1000,0,1,0.51,1.96
1000,1000,0,1,0.51,1.96
1000,1000,0,1,0.51,1.96
1000,1000,0,1,0.51,1.96
1000,1000,0,1,0.51,1.96
1000,1000,0,1,0.51,1.96
1000,1000,0,1,0.51,1.96
1000,1000,0,1,0.51,1.96
1000,1000,0,1,0.51,1.96
1000,1000,0,1,0.51,1.96
1000,1000,0,1,0.51,1.96
1000,1000,0,1,0.51,1.96
1000,1000,0,1,0.51,1.96
1000,1000,0,1,0.51,1.96
1000,1000,0,1,0.51,1.96
1000,1000,0,1,0.51,1.96
1000,1000,0,1,0.51,1.96
1000,1000,0,1,0.51,1.96
1000,1000,0,1,0.51,1.96
1000,1000,0,1,0.51,1.96
1000,1000,0,1,0.51,1.96
1000,1000,0,1,0.51,1.96
1000,1000,0,1,0.51,1.96
1000,1000,0,1,0.51,1.96
1000,1000,0,1,0.51,1.96
1000,1000,0,1,0.51,1.96
1000,1000,0,1,0.51,1.96
1000,1000,0,1,0.51,1.96
1000,1000,0,1,0.51,1.96
1000,1000,0,1,0.51,1.96
1000,1000,0,1,0.51,1.96
1000,1000,0,1,0.51,1.96
1000,1000,0,1,0.51,1.96
1000,1000,0,1,0.51,1.96
1000,1000,0,1,0.51,1.96
1000,1000,0,1,0.51,1.96
1000,1000,0,1,0.51,1.96
1000,1000,0,1,0.51,1.96
1000,1000,0,1,0.51,1.96
1000,1000,0,1,0.51,1.96
1000,1000,0,1,0.51,1.96
1000,1000,0,1,0.51,1.96
1000,1000,0,1,0.51,1.96
1000,1000,0,1,0.51,1.96
1000,1000,0,1,0.51,1.96
1000,1000,0,1,0.51,1.96
1000,1000,0,1,0.51,1.96
1000,1000,0,1,0.51,1.96
1000,1000,0,1,0.51,1.96
1000,1000,0,1,0.51,1.96
1000,1000,0,1,0.51,1.96
1000,1000,0,1,0.51,1.96
1000,1000,0,1,0.51,1.96
1000,1000,0,1,0.51,1.96
1000,1000,0,1,0.51,1.96
1000,1000,0,1,0.51,1.96
1000,1000,0,1,0.51,1.96
1000,1000,0,1,0.51,1.96
1000,1000,0,1,0.51,1.96
1000,1000,0,1,0.51,1.96
1000,1000,0,1,0.51,1.96
1000,1000,0,1,0.51,1.96
1000,1000,0,1,0.51,1.96
1000,1000,0,1,0.51,1.96
1000,1000,0,1,0.51,1.96
1000,1000,0,1,0.51,1.96
1000,1000,0,1,0.51,1.96
1000,1000,0,1,0.51,1.96
