match_id,scheduled,player1_id,player2_id,winner_id,home_score,away_score
sr:match:41366539,2023-05-22T08:00:00+00:00,sr:competitor:619900,sr:competitor:97977,sr:competitor:619900,0.0,2.0
sr:match:41137411,2023-05-09T03:30:00+00:00,sr:competitor:97977,sr:competitor:63446,sr:competitor:63446,,
sr:match:40762871,2023-04-28T02:00:00+00:00,sr:competitor:337601,sr:competitor:97977,sr:competitor:337601,0.0,2.0
sr:match:40762887,2023-04-27T02:00:00+00:00,sr:competitor:97977,sr:competitor:124658,sr:competitor:97977,0.0,2.0
sr:match:42023967,2023-07-03T14:15:00+00:00,sr:competitor:119248,sr:competitor:66002,sr:competitor:119248,1.0,3.0
sr:match:41988255,2023-06-29T10:30:00+00:00,sr:competitor:66002,sr:competitor:131442,sr:competitor:66002,2.0,3.0
sr:match:41954307,2023-06-28T10:00:00+00:00,sr:competitor:50139,sr:competitor:66002,sr:competitor:66002,2.0,0.0
sr:match:41929247,2023-06-26T14:45:00+00:00,sr:competitor:66002,sr:competitor:336423,sr:competitor:66002,0.0,2.0
sr:match:41812475,2023-06-19T18:50:00+00:00,sr:competitor:83397,sr:competitor:66002,sr:competitor:83397,0.0,2.0
sr:match:41803651,2023-06-18T11:05:00+00:00,sr:competitor:49663,sr:competitor:66002,sr:competitor:66002,2.0,0.0
sr:match:41791077,2023-06-17T11:40:00+00:00,sr:competitor:66002,sr:competitor:603096,sr:competitor:66002,1.0,2.0
sr:match:41739609,2023-06-13T10:00:00+00:00,sr:competitor:66002,sr:competitor:129368,sr:competitor:129368,2.0,0.0
sr:match:41705805,2023-06-12T11:45:00+00:00,sr:competitor:871495,sr:competitor:66002,sr:competitor:871495,1.0,2.0
sr:match:41694531,2023-06-11T15:50:00+00:00,sr:competitor:95939,sr:competitor:66002,sr:competitor:66002,2.0,1.0
sr:match:41950615,2023-06-28T10:00:00+00:00,sr:competitor:82579,sr:competitor:300540,sr:competitor:300540,2.0,1.0
sr:match:41929305,2023-06-26T10:00:00+00:00,sr:competitor:82579,sr:competitor:65606,sr:competitor:82579,1.0,2.0
sr:match:41694027,2023-06-12T11:35:00+00:00,sr:competitor:82579,sr:competitor:325737,sr:competitor:325737,,
sr:match:41573721,2023-06-06T16:20:00+00:00,sr:competitor:43748,sr:competitor:82579,sr:competitor:43748,0.0,2.0
sr:match:41491533,2023-05-30T09:55:00+00:00,sr:competitor:108767,sr:competitor:82579,sr:competitor:108767,0.0,2.0
sr:match:41366593,2023-05-22T14:10:00+00:00,sr:competitor:82579,sr:competitor:204117,sr:competitor:204117,2.0,1.0
sr:match:41099065,2023-05-09T02:00:00+00:00,sr:competitor:72230,sr:competitor:82579,sr:competitor:72230,0.0,2.0
sr:match:40963317,2023-05-02T06:40:00+00:00,sr:competitor:82579,sr:competitor:99587,sr:competitor:99587,2.0,0.0
sr:match:40873225,2023-04-25T11:00:00+00:00,sr:competitor:22218,sr:competitor:82579,sr:competitor:22218,1.0,2.0
sr:match:40843095,2023-04-24T10:45:00+00:00,sr:competitor:82579,sr:competitor:88992,sr:competitor:82579,0.0,2.0
sr:match:41929319,2023-06-26T10:00:00+00:00,sr:competitor:170946,sr:competitor:226050,sr:competitor:170946,0.0,2.0
sr:match:41366527,2023-05-22T10:25:00+00:00,sr:competitor:212004,sr:competitor:226050,sr:competitor:212004,0.0,2.0
